Team,Rate,Pass,Run
Pittsburgh Steelers,100,97.4,94.2
Denver Broncos,87.4,86.6,90.2
Tennessee Titans,86.8,76.7,96.7
Seattle Seahawks,84.7,88.7,76.5
Los Angeles Rams,84.5,81.6,87.5
Minnesota Vikings,82.9,80.5,83.4
Kansas City Chiefs,82.2,87.1,70.6
Cleveland Browns,81.4,81.2,83.1
Houston Texans,80.7,82.4,77.2
New York Giants,80.1,80.6,80
Cincinnati Bengals,78.1,79.7,73
Dallas Cowboys,77.8,81.7,72
Philadelphia Eagles,77.4,75.9,76.1
New York Jets,76.7,81.5,66.5
Baltimore Ravens,76.2,78.1,71.3
Indianapolis Colts,76.1,73.4,78.7
Miami Dolphins,75.5,73.1,80.2
Las Vegas Raiders,75.5,73.2,80.1
Buffalo Bills,75,75.3,73.6
New Orleans Saints,74.8,76.8,71.3
Tampa Bay Buccaneers,72.2,73.2,75.3
Los Angeles Chargers,72.1,70.3,74.5
Washington Commanders,71.2,70.7,71.9
Jacksonville Jaguars,70.7,67.4,77.2
San Francisco 49ers,70.6,73,69.8
Atlanta Falcons,68.5,68,71.7
Chicago Bears,67.6,70.3,65.4
Arizona Cardinals,66.7,69.5,61.9
Green Bay Packers,66,66.6,68.5
New England Patriots,64.3,60.6,71.3
Detroit Lions,62.9,66.5,61
Carolina Panthers,61,58.8,67.9
