Team,Rate,PPG,Pass,Run,EPA,YPP,Success,Explosive,SOS
Denver Broncos,88.6,18.3,85.4,88.1,-0.1,4.8,40.4,7,74.4
Philadelphia Eagles,87.9,17.8,85.4,86.2,-0.09,4.6,40,7.1,74.6
Minnesota Vikings,85.7,19.5,85.5,86.9,-0.09,5.1,41.4,7.6,75.6
Seattle Seahawks,84.1,21.6,80.8,75.7,-0.02,5.1,43.7,8.2,76.9
Green Bay Packers,83,19.9,79.6,83,-0.07,5,44.5,8.2,75.3
Los Angeles Chargers,82.2,17.7,81.4,76.4,-0.06,5.1,42.1,8.6,73.4
Pittsburgh Steelers,82.2,20.4,78.8,76.2,-0.02,5.2,44.6,8.2,75.2
Detroit Lions,80.9,20.1,79.6,80.5,-0.04,5.4,42.3,8.6,75.3
Houston Texans,80.4,21.9,84.8,81.1,-0.05,4.9,40.6,8.6,74.8
Baltimore Ravens,78.3,21.2,76.7,90.8,-0.02,4.9,40.4,7,73.8
Cleveland Browns,77.9,25.6,71.6,77.9,0.02,5.6,41.4,11,76.5
Miami Dolphins,77.7,21.4,76.2,76.1,-0.02,5.1,43.2,8.5,72.9
Chicago Bears,77.2,21.8,76.5,68.3,0,5.7,43.9,10.9,77.2
Kansas City Chiefs,77,19.2,74.5,80.2,0.01,5.1,43.7,7.7,74.9
Buffalo Bills,76.6,21.6,74.1,80.5,0,5.3,44.5,8.9,74.6
Tampa Bay Buccaneers,75,22.6,70.7,86.2,0.02,5.3,45.1,7.2,75.9
New York Giants,74.6,24.4,66.1,74.8,0.07,5.5,46,9.9,76.2
Tennessee Titans,74.3,27.1,73.2,73.5,0.05,5.1,43.6,8.8,75.8
New Orleans Saints,73.1,23.4,76.2,65.1,0.04,5.6,44.6,9.4,74.8
Las Vegas Raiders,72.7,25.5,74.6,79.3,0.01,5.2,43.4,8.5,75.5
Indianapolis Colts,72.6,25.1,70.9,77.3,0.01,5.4,43.3,9.7,72.6
Los Angeles Rams,71.4,22.7,71.9,71.9,0.05,5.5,45.6,9,76.4
Arizona Cardinals,71.4,22.3,73,67.9,0.05,5.5,47.6,9.3,76.9
New York Jets,69.6,23.8,74.7,70.2,0.05,4.8,44.5,8.2,73.9
Atlanta Falcons,69.3,24.9,70,71.6,0.04,5.4,45.6,8,74
Cincinnati Bengals,68.9,25.5,72.5,65.2,0.06,5.3,46.3,8.5,72.4
Dallas Cowboys,68.8,27.5,76.4,61.8,0.07,5.6,45,9.4,76.9
San Francisco 49ers,68.4,25.6,76.5,68,0.05,5.2,46.1,7.3,77
New England Patriots,67.6,24.5,67.1,70.6,0.08,5.3,46,8,75.3
Washington Commanders,66.9,23,73.3,67,0.04,5.2,44.3,10.1,72.8
Jacksonville Jaguars,59.6,25.6,58.3,70.2,0.13,5.7,45.6,10.6,72.2
Carolina Panthers,55.9,31.4,63.5,51.4,0.15,5.8,50.6,10.5,75.7
