Team,Off WEPA/play,Def WEPA/play,Off SR,Def SR,Off Pass WEPA,Def Pass WEPA
BAL,0.28,-0.03,0.49,0.41,0.47,0.04
BUF,0.25,-0.02,0.48,0.44,0.41,0.05
DET,0.23,-0.01,0.5,0.42,0.4,0.03
CIN,0.22,0.06,0.48,0.46,0.34,0.06
TB,0.21,0.01,0.49,0.45,0.32,0.06
WAS,0.19,0.03,0.48,0.45,0.29,0.05
GB,0.16,-0.03,0.45,0.45,0.29,0.02
PHI,0.16,-0.06,0.45,0.4,0.28,0
MIN,0.14,-0.06,0.46,0.41,0.26,0
SF,0.15,0.04,0.46,0.46,0.26,0.05
KC,0.13,-0.02,0.48,0.44,0.23,0.04
ARI,0.14,0.04,0.47,0.48,0.22,0.06
LAC,0.09,-0.03,0.42,0.42,0.2,0.01
ATL,0.1,0.02,0.48,0.45,0.19,0.06
LA,0.09,0.02,0.47,0.46,0.18,0.07
MIA,0.06,-0.02,0.44,0.43,0.17,0.03
NYJ,0.07,0.02,0.43,0.44,0.14,0.05
DEN,0.06,-0.07,0.43,0.4,0.12,-0.02
PIT,0.03,0,0.41,0.45,0.12,0.03
SEA,0.04,-0.01,0.44,0.44,0.11,0.05
HOU,0.02,-0.04,0.39,0.41,0.06,0.02
NE,0.01,0.04,0.42,0.46,0.06,0.1
JAX,0.02,0.06,0.41,0.46,0.06,0.11
IND,0.03,0,0.41,0.43,0.06,0.06
CAR,0.03,0.12,0.42,0.51,0.06,0.1
DAL,-0.01,0.06,0.41,0.45,0.03,0.05
TEN,-0.02,0.02,0.4,0.44,0.02,0.05
NO,0,0.02,0.41,0.45,0.02,0.03
CHI,-0.03,0.04,0.4,0.44,0,0.04
LV,-0.05,-0.01,0.41,0.43,-0.01,0.05
NYG,-0.03,0.04,0.41,0.46,-0.02,0.09
CLE,-0.12,0.01,0.37,0.41,-0.15,0.06
