Team,Rate,Pass,Run
Denver Broncos,87.8,87.2,83.7
Los Angeles Rams,86.7,80,86.6
Chicago Bears,85.4,79.3,86.2
Detroit Lions,85.1,83.6,81.7
Indianapolis Colts,84.9,83,83.5
San Francisco 49ers,84.7,78.5,85.8
Atlanta Falcons,84.3,76.7,88.6
Pittsburgh Steelers,82.2,85.5,75.1
Houston Texans,80.4,85.4,75
New York Giants,80.3,81.4,78.2
Seattle Seahawks,80.3,79.2,80.5
Dallas Cowboys,80.1,79.3,79.2
Carolina Panthers,79.7,80.6,78.4
New England Patriots,79.5,80.5,75.7
Buffalo Bills,78.4,72.9,82.7
Baltimore Ravens,76.7,67.5,83
Philadelphia Eagles,76.7,76.3,78.5
Jacksonville Jaguars,74.6,72.5,78.2
Washington Commanders,74.4,76.3,74.1
Kansas City Chiefs,74.1,76.7,71.4
Miami Dolphins,73.8,72.7,74.7
Cincinnati Bengals,73.6,81.3,68.8
New Orleans Saints,71.2,79.1,68.6
New York Jets,71,71.6,75.2
Tennessee Titans,70.6,71.9,72.1
Minnesota Vikings,69.8,71.3,70.8
Cleveland Browns,69.3,70.5,69.8
Green Bay Packers,68.1,66.2,71.2
Tampa Bay Buccaneers,68,62.7,73
Arizona Cardinals,67.2,74.3,64.6
Los Angeles Chargers,62.8,64.3,63.7
Las Vegas Raiders,57.9,51.8,64.3
