Team,Rate,PPG,Pass,Run,EPA,YPP,Success,Explosive,SOS
Los Angeles Rams,90.2,30.5,90.5,92.4,0.15,6.1,52.2,11.3,77
Indianapolis Colts,87,27.4,78.8,87.2,0.08,5.6,46.5,8,79.4
Buffalo Bills,86.5,28.3,82.4,89.1,0.14,5.8,48.6,10.9,74.2
San Francisco 49ers,85.6,25.7,85.1,76.9,0.09,5.5,48.5,8.2,78.4
Green Bay Packers,83.1,23,88.3,75.1,0.12,5.5,48.2,10.3,73.8
Detroit Lions,82.5,28.3,82.9,73.9,0.07,5.8,45,10.1,74.1
Dallas Cowboys,81.7,27.7,82,80.3,0.11,5.8,47.3,8.2,73
New England Patriots,81.5,28.8,88.4,70.3,0.16,6.1,48.4,10.4,70.9
Chicago Bears,80.2,25.9,79.4,84.9,0.08,5.5,45.7,10.1,73.5
Jacksonville Jaguars,78.7,27.9,77.2,72.4,0.04,5.1,44.4,8.3,76.9
Baltimore Ravens,78.7,24.9,74.6,85.5,0.04,5.7,44.6,10.4,76.1
Seattle Seahawks,78.6,28.4,83.3,73.4,0.04,5.8,46.7,10.7,75.9
Kansas City Chiefs,76.7,21.3,76.5,74.1,0.04,5,44.6,7.2,75.6
Washington Commanders,76,20.9,76.5,76.9,0.03,5.3,46.4,8.5,74.5
Cincinnati Bengals,76,24.4,73.3,83.4,0.01,5.1,46.4,7.4,75.4
Pittsburgh Steelers,74.7,23.4,74,81.6,0.03,5.1,44.1,8.3,75.1
Tampa Bay Buccaneers,74.6,22.4,76.1,70.3,0,4.9,43.1,8.4,76.4
New York Giants,74.6,22.4,74.4,75.1,0.04,5,43,8.6,73.2
Los Angeles Chargers,74.3,21.6,72.4,69.7,-0.01,5.1,43.6,7.4,75.8
Atlanta Falcons,73.9,20.8,74.7,78,-0.01,5.3,44.5,9.2,74.6
Houston Texans,73.4,23.8,76.4,64.2,-0.01,4.9,41.6,7.2,76.9
Denver Broncos,73.1,23.6,75.3,75.1,0.04,5.2,43.8,8,73.3
Philadelphia Eagles,72.6,22.3,76.3,72.3,0.03,5.1,43.2,9,71.6
Arizona Cardinals,72.1,20.9,73,66.1,-0.01,4.9,42.9,6.7,77.4
Miami Dolphins,70.7,20.4,67.5,78.2,-0.02,5.3,42.1,10.1,72.6
Carolina Panthers,69.9,18.3,71.3,76.1,-0.03,4.9,43.6,8,73.9
Minnesota Vikings,66.3,20.2,61,76.7,-0.09,4.8,43.3,8.4,73
Tennessee Titans,66,16.7,65.3,72.8,-0.15,4.2,37.9,7.3,81.3
New Orleans Saints,62.9,18,68.1,63,-0.08,4.8,42.4,5.5,73.2
New York Jets,62.5,17.6,59.3,71.9,-0.12,4.3,40.8,6.4,74.1
Las Vegas Raiders,61.5,14.2,62.9,51.2,-0.19,4.2,38.6,6.7,77.1
Cleveland Browns,54,16.4,52.8,62.1,-0.18,4.1,35.2,6.1,71.9
