Team,2025,Last 3,Last 1,Home,Away,2024,,
Minnesota,42.86%,20.00%,0.00%,33.33%,48.39%,58.49%,,
LA Chargers,44.23%,0.00%,0.00%,61.11%,35.29%,45.45%,,
Denver,44.44%,44.44%,50.00%,46.88%,40.91%,44.44%,,
Baltimore,50.79%,44.44%,50.00%,51.43%,50.00%,55.56%,,
Pittsburgh,51.72%,50.00%,66.67%,54.17%,50.00%,55.38%,,
Seattle,51.79%,75.00%,100.00%,50.00%,54.55%,52.63%,,
Kansas City,52.94%,50.00%,0.00%,54.55%,51.72%,53.97%,,
LA Rams,53.13%,83.33%,80.00%,42.31%,60.53%,47.46%,,
New Orleans,53.19%,28.57%,33.33%,52.94%,53.33%,55.56%,,
Indianapolis,53.73%,57.14%,66.67%,51.52%,55.88%,60.66%,,
Philadelphia,53.85%,70.00%,66.67%,58.33%,50.00%,49.15%,,
Atlanta,54.90%,37.50%,66.67%,53.85%,56.00%,64.91%,,
Houston,55.32%,42.86%,100.00%,55.00%,55.56%,60.00%,,
San Francisco,55.74%,50.00%,66.67%,45.83%,62.16%,68.42%,,
Carolina,57.14%,57.14%,80.00%,59.38%,54.84%,65.79%,,
New England,57.69%,30.00%,25.00%,65.52%,47.83%,63.16%,,
Las Vegas,57.81%,44.44%,0.00%,50.00%,65.63%,60.34%,,
Green Bay,57.89%,46.67%,40.00%,54.55%,60.00%,57.41%,,
Cleveland,58.00%,55.56%,75.00%,47.83%,66.67%,62.26%,,
Buffalo,58.18%,55.56%,25.00%,62.96%,53.57%,57.75%,,
Chicago,58.73%,60.00%,66.67%,45.16%,71.88%,46.03%,,
Detroit,59.62%,40.00%,100.00%,47.62%,67.74%,54.24%,,
Miami,59.68%,85.71%,80.00%,64.29%,55.88%,49.09%,,
Jacksonville,62.00%,85.71%,100.00%,57.14%,65.52%,59.32%,,
Cincinnati,62.90%,60.00%,0.00%,57.58%,68.97%,67.92%,,
NY Giants,63.16%,44.44%,50.00%,66.67%,60.61%,53.70%,,
Arizona,63.24%,83.33%,50.00%,73.33%,55.26%,52.63%,,
NY Jets,64.71%,71.43%,83.33%,78.57%,55.00%,58.73%,,
Tennessee,65.52%,83.33%,100.00%,58.62%,72.41%,63.16%,,
Dallas,66.67%,41.67%,40.00%,71.88%,61.76%,75.00%,,
Washington,67.74%,87.50%,66.67%,65.38%,69.44%,63.77%,,
Tampa Bay,69.77%,57.14%,100.00%,80.95%,59.09%,53.23%,,
