Team,2025,Last 3,Last 1,Home,Away,2024,,
Philadelphia,70.21%,62.50%,66.67%,70.37%,70.00%,58.33%,,
Buffalo,67.12%,78.57%,60.00%,71.79%,61.76%,69.62%,,
Cincinnati,66.67%,93.33%,75.00%,70.00%,62.50%,63.93%,,
Washington,65.22%,60.00%,75.00%,70.83%,59.09%,63.41%,,
San Francisco,65.22%,50.00%,--,65.52%,65.00%,57.14%,,
Indianapolis,65.15%,66.67%,50.00%,68.57%,61.29%,53.85%,,
LA Rams,64.37%,72.73%,66.67%,68.75%,61.82%,51.39%,,
Detroit,62.50%,33.33%,25.00%,64.52%,60.61%,67.95%,,
Jacksonville,62.50%,66.67%,75.00%,69.44%,55.56%,58.00%,,
Atlanta,62.00%,62.50%,33.33%,48.00%,76.00%,54.72%,,
Green Bay,59.68%,66.67%,100.00%,57.69%,61.11%,58.33%,,
Kansas City,57.63%,25.00%,0.00%,60.00%,54.17%,54.55%,,
Tennessee,57.58%,71.43%,100.00%,55.56%,60.00%,53.33%,,
Carolina,57.14%,87.50%,100.00%,60.00%,54.17%,62.00%,,
Chicago,57.14%,55.56%,66.67%,63.64%,50.00%,62.16%,,
Dallas,56.92%,55.56%,50.00%,59.38%,54.55%,46.00%,,
Minnesota,56.86%,37.50%,25.00%,55.56%,58.33%,54.84%,,
Pittsburgh,56.60%,25.00%,0.00%,56.00%,57.14%,48.21%,,
Miami,56.25%,50.00%,33.33%,50.00%,60.71%,56.60%,,
New England,55.71%,75.00%,100.00%,53.49%,59.26%,46.81%,,
Denver,55.56%,22.22%,50.00%,52.50%,60.87%,61.40%,,
Seattle,55.41%,60.00%,25.00%,65.79%,44.44%,57.14%,,
Arizona,54.10%,28.57%,33.33%,51.72%,56.25%,56.14%,,
Tampa Bay,54.00%,55.56%,33.33%,50.00%,57.69%,66.67%,,
Cleveland,52.63%,33.33%,0.00%,55.56%,50.00%,48.65%,,
Las Vegas,50.00%,40.00%,0.00%,45.83%,58.33%,48.89%,,
NY Giants,47.46%,38.46%,40.00%,51.61%,42.86%,43.18%,,
Baltimore,47.46%,66.67%,--,45.71%,50.00%,73.97%,,
Houston,45.90%,50.00%,25.00%,46.88%,44.83%,48.44%,,
LA Chargers,45.76%,22.22%,0.00%,55.17%,36.67%,54.90%,,
NY Jets,44.74%,20.00%,100.00%,42.11%,47.37%,54.55%,,
New Orleans,44.44%,50.00%,66.67%,31.82%,56.52%,58.14%,,
