Team,Opp,Spread,Total,Adj
NE,SEA,3.5,44.5,0
SEA,NE,-3.5,44.5,0
SF,LA,3.5,48.5,0
LA,SF,-3.5,48.5,0
NO,DET,7,48.5,0
DET,NO,-7,48.5,0
CHI,CAR,-2.5,46.5,0
CAR,CHI,2.5,46.5,0
TB,CIN,3.5,51.5,0
CIN,TB,-3.5,51.5,6
BUF,HOU,-1.5,44.5,0
HOU,BUF,1.5,44.5,0
BAL,IND,-3.5,48.5,0
IND,BAL,3.5,48.5,0
CLE,JAX,7.5,40.5,0
JAX,CLE,-7.5,40.5,0
ATL,PIT,3,42.5,0
PIT,ATL,-3,42.5,0
NYJ,TEN,3,38.5,0
TEN,NYJ,-3,38.5,0
ARI,LAC,10.5,46.5,0
LAC,ARI,-10.5,46.5,0
WAS,PHI,4.5,47.5,0
PHI,WAS,-4.5,47.5,0
MIA,LV,3.5,40.5,0
LV,MIA,-3.5,40.5,0
GB,MIN,-1.5,43.5,0
MIN,GB,1.5,43.5,0
DAL,NYG,-2.5,48.5,6
NYG,DAL,2.5,48.5,0
DEN,KC,3,42.5,0
KC,DEN,-3,42.5,0
