Team,Opp,Spread,Total,Adj,spread_value,total_value,total_ou,Adj_value,team,off_wepa_play,def_wepa_play,off_sr,def_sr,off_pass_wepa,def_pass_wepa,season,dl_rate,dl_pass,dl_run,ol_rate,ol_pass,ol_run,off_rate,off_ppg,off_pass,off_run,off_epa,off_ypp,off_success,off_explosive,off_sos,def_rate,def_ppg,def_pass,def_run,def_epa,def_ypp,def_success,def_explosive,def_sos,off_rz_home,off_rz_away,def_rz_home,def_rz_away,Off_rz,Def_rz,team_opp,off_wepa_play_opp,def_wepa_play_opp,off_sr_opp,def_sr_opp,off_pass_wepa_opp,def_pass_wepa_opp,season_opp,dl_rate_opp,dl_pass_opp,dl_run_opp,ol_rate_opp,ol_pass_opp,ol_run_opp,off_rate_opp,off_ppg_opp,off_pass_opp,off_run_opp,off_epa_opp,off_ypp_opp,off_success_opp,off_explosive_opp,off_sos_opp,def_rate_opp,def_ppg_opp,def_pass_opp,def_run_opp,def_epa_opp,def_ypp_opp,def_success_opp,def_explosive_opp,def_sos_opp,off_rz_home_opp,off_rz_away_opp,def_rz_home_opp,def_rz_away_opp,Off_rz_opp,Def_rz_opp,Adj_team,Adj_opp,epa_diff,def_epa_diff,sr_diff,def_sr_diff,ol_advantage,dl_advantage,rz_diff,rz_def_diff,explosive_diff,ypp_diff,sos_diff,model_pred,model_pred_adj,edge,recommended_pick,confidence,teaser_flag
NE,SEA,3.5,44.5,0,3.5,44.5,,0,NE,0.185,0.012,0.462,0.453,0.326,0.051,2024.7,67.17,68.37,68.5,73.02,74.8,70.96,76.25,25.26,82.55,68.29,0.088,5.65,46.66,9.35,71.83,74.81,20.51,71.23,74.24,-0.004,5.09,45.23,7.65,72.29,53.49%,59.26%,65.52%,47.83%,,,SEA,0.103,-0.059,0.461,0.412,0.236,0.008,2024.7,85.4,86.88,83.08,76.28,75.9,77.29,76.56,26.51,80.33,71.84,0.022,5.62,45.98,9.95,75.6,91.31,18.52,86.12,87.53,-0.083,4.61,41.18,6.45,76.55,65.79%,44.44%,50.00%,54.55%,,,0,0,0.099,0.1185,0.001125,0.046125,-21.665,-15.9425,,,-0.525,0.015,-2.35625,1.946,1.946,1.554,SEA -3.5,Lean Favorite,6pt Teaser
LA,SF,-3.5,48.5,0,-3.5,48.5,,0,LA,0.209,-0.015,0.505,0.432,0.327,0.021,2024.7,84.29,83.21,85.4,85.74,79.85,86.39,85.82,27.83,87.38,87.63,0.114,5.86,50.73,10.28,76.85,82.39,21.09,80.09,76.59,-0.034,5.15,43.01,8.16,76.12,68.75%,61.82%,42.31%,60.53%,,,SF,0.164,0.04,0.474,0.474,0.295,0.071,2024.7,61.22,62.78,60.98,82.72,77.72,84.15,83.77,24.86,83.81,76.6,0.081,5.65,47.72,8.86,77.71,70.78,22.94,69.01,71.08,0.064,5.34,47.57,7.3,75.67,65.52%,65.00%,45.83%,62.16%,,,0,0,0.0495,-0.147,0.034875,-0.04725,42.91,2.7475,,,1.2425,0.105,-0.5375,-0.719,-0.719,-2.781,SF +3.5,Lean Underdog,
DET,NO,-7,48.5,0,-7,48.5,,0,DET,0.167,0.004,0.465,0.427,0.288,0.03,2024.7,72.7,78.19,63.17,85.82,79.97,85.33,85.77,29.77,84.7,78.25,0.097,5.92,46.38,10.52,74.7,75.72,23.04,78.9,75.25,-0.005,5.26,42.44,9.23,75.65,64.52%,60.61%,47.62%,67.74%,,,NO,-0.007,-0.022,0.417,0.429,0.034,0.03,2024.7,78.51,77.01,78.93,72.16,78.77,70.94,64.7,18.57,67.53,67.14,-0.074,4.86,41.86,6.37,73.32,76.95,22.77,78.58,77.77,-0.023,5.04,42.78,8.49,75.36,31.82%,56.52%,52.94%,53.33%,,,0,0,0.2565,0.027,0.054,-0.00225,12.7925,0.945,,,3.63125,0.53,0.8625,-4.508,-4.508,-2.492,NO +7.0,Lean Underdog,
CAR,CHI,2.5,46.5,0,2.5,46.5,,0,CAR,0.044,0.057,0.434,0.461,0.088,0.065,2024.7,72.76,68.39,77.21,78.17,79.19,77.32,69.72,18.84,70.22,76.88,-0.033,4.9,43.06,7.85,74.17,68.64,25.1,70.85,66.8,0.087,5.52,46.12,8.96,75.98,60.00%,54.17%,59.38%,54.84%,,,CHI,0.068,0.047,0.442,0.461,0.119,0.061,2024.7,73.34,74.78,71,80.81,76.33,82.27,76.06,23.59,75.47,79.5,0.035,5.14,43.99,8.81,73.89,72.93,23.62,72.65,67.81,0.028,5.77,46.21,10.69,75.1,63.64%,50.00%,45.16%,71.88%,,,0,0,-0.102,0.0885,-0.009,0,8.4525,-14.0875,,,-0.84,-0.12,0.175,1.548,1.548,0.952,CHI -2.5,No Model Edge,10pt Teaser
CIN,TB,-3.5,51.5,6,-3.5,51.5,,6,CIN,0.115,0.074,0.466,0.474,0.179,0.088,2024.7,70.54,70.74,72.23,71.17,78.18,66.43,78.13,25.42,76.3,80.61,0.04,5.25,46.88,7.37,75.61,67.78,27.88,66.06,63.38,0.102,5.86,47.28,9.83,73.24,70.00%,62.50%,57.58%,68.97%,,,TB,0.112,0.01,0.448,0.45,0.208,0.067,2024.7,71.36,72.29,73.83,71.33,69.09,73.84,77.75,24.53,78.08,74.68,0.039,5.23,44.99,8.94,75.41,73.67,23.72,70.84,83.82,0.013,5.51,45.03,8.18,75.06,50.00%,57.69%,80.95%,59.09%,,,6,0,0.0015,0.1335,0.02025,0.027,-0.3325,-1.3825,,,-1.37375,0.01,0.125,-1.048,-7.048,3.548,CIN -3.5,Bet Favorite,6pt Teaser
BUF,HOU,-1.5,44.5,0,-1.5,44.5,,0,BUF,0.229,0.015,0.487,0.433,0.361,0.008,2024.7,74.02,75.02,69.82,77.98,75.63,80.3,87.22,29.08,83.93,87.15,0.155,5.8,48.39,10.48,73.96,73.94,21.53,79.56,68.11,-0.007,5.16,43.45,9.39,72.5,71.79%,61.76%,62.96%,53.57%,,,HOU,0.034,-0.061,0.411,0.403,0.116,-0.015,2024.7,86.02,87.37,81.61,75.27,78.95,72.45,71.87,23.23,73.64,64.98,-0.019,4.93,40.85,7.5,75.97,89.5,18.75,88.72,84.53,-0.092,4.69,39.83,7.41,76.62,46.88%,44.83%,55.00%,55.56%,,,0,0,0.261,0.1275,0.0855,0.03375,-14.07,-2.1875,,,2.6075,0.435,-1.25625,-1.752,-1.752,0.252,BUF -1.5,No Model Edge,10pt Teaser
BAL,IND,-3.5,48.5,0,-3.5,48.5,,0,BAL,0.154,-0.002,0.462,0.431,0.246,0.054,2024.7,72.49,72.08,71.65,77.51,69.69,82.79,83.08,26.58,80.21,87.81,0.088,5.97,46.04,10.88,76.37,73.4,22.74,70.75,83.1,0.008,5.25,42.99,8.89,74.15,45.71%,50.00%,51.43%,50.00%,,,IND,0.121,0.007,0.452,0.451,0.186,0.06,2024.7,75.12,74.8,75.69,83.19,80.66,82.45,82.32,25.84,75.59,84.08,0.041,5.51,44.73,8.66,78.38,71.97,24.47,72.3,77.16,0.017,5.26,45.12,8.65,74,68.57%,61.29%,51.52%,55.88%,,,0,0,0.0705,-0.0135,0.01125,-0.0225,4.1825,-18.725,,,1.9425,0.23,-1.25625,-1.661,-1.661,-1.839,IND +3.5,Lean Underdog,
CLE,JAX,7.5,40.5,0,7.5,40.5,,0,CLE,-0.134,-0.011,0.356,0.41,-0.157,0.004,2024.7,86.37,84.14,90.17,68.46,71.73,67.85,54.54,16.04,53.73,63.33,-0.177,4.19,35.8,6.01,73.07,82.66,23.29,80.98,80.35,-0.05,4.97,40.98,8.97,75.87,55.56%,50.00%,47.83%,66.67%,,,JAX,0.083,-0.003,0.438,0.432,0.158,0.033,2024.7,68.39,69.85,68.94,75.23,76.58,74.93,76.42,25.17,75.79,73.66,0.022,5.1,43.56,8.69,76.96,77.52,21.54,76.15,78.88,-0.017,5.07,43.29,7.8,74.09,69.44%,55.56%,57.14%,65.52%,,,0,0,-0.2985,-0.0495,-0.09225,-0.02475,0.1225,19.495,,,-2.345,-0.455,-2.43125,4.463,4.463,3.037,CLE +7.5,Bet Underdog,
ATL,PIT,3,42.5,0,3,42.5,,0,ATL,0.086,0.013,0.452,0.45,0.169,0.039,2024.7,71.23,72.69,70.09,84.57,78.17,88.09,75.31,21.43,74.97,80.25,0.005,5.39,45.67,9.35,74.78,72.59,23.99,77.14,71.32,0.019,5.19,45.39,8.21,74.56,48.00%,76.00%,53.85%,56.00%,,,PIT,0.058,0.014,0.431,0.443,0.12,0.03,2024.7,92.51,89.49,89.16,80.19,80.16,76.63,74.01,23.1,74.24,78.24,0.012,5.04,43.05,8.75,75.16,77.51,22.08,76.14,75.71,0.008,5.27,43.97,8.2,74.85,56.00%,57.14%,54.17%,50.00%,,,0,0,-0.0105,0.0165,0.023625,0.007875,-13.895,-15.68,,,0.525,0.175,-0.2375,1.415,1.415,1.585,PIT -3.0,Lean Favorite,
NYJ,TEN,3,38.5,0,3,38.5,,0,NYJ,-0.042,0.055,0.416,0.454,-0.035,0.113,2024.7,75.72,72.68,77.21,72.08,73.58,74.12,65.8,18.29,63.41,72.56,-0.084,4.51,41.49,7.09,74.49,62.67,27.86,62.03,72.44,0.12,5.29,45.34,9.74,74.67,42.11%,47.37%,78.57%,55.00%,,,TEN,-0.069,0.041,0.386,0.447,-0.064,0.085,2024.7,82.18,80.55,80.74,68.59,71.03,70.03,65.37,17.18,65.06,70.94,-0.135,4.38,38.68,7.6,79.17,69.96,27.8,66.27,74.48,0.085,5.52,44.79,9.15,75.8,55.56%,60.00%,58.62%,72.41%,,,0,0,0.0765,0.0525,0.03375,0.007875,-17.675,12.4775,,,-0.44625,0.065,-2.925,2.359,2.359,0.641,TEN -3.0,No Model Edge,
