Team,Opp,Spread,Total,Adj,Trend
ATL,GB,6.5,44.5,0,0
GB,ATL,-6.5,44.5,0,0
LAC,BUF,7,50.5,0,0
BUF,LAC,-7,50.5,0,0
CAR,CLE,-2.5,42.5,0,0
CLE,CAR,2.5,42.5,0,0
NYJ,DET,6.5,48.5,0,0
DET,NYJ,-6.5,48.5,0,0
HOU,IND,-2.5,43.5,0,0
IND,HOU,2.5,43.5,0,0
KC,MIA,-11.5,45.5,0,0
MIA,KC,11.5,45.5,0,0
TEN,NYG,6,42.5,0,0
NYG,TEN,-6,42.5,0,0
CIN,PIT,-3.5,42.5,0,0
PIT,CIN,3.5,42.5,0,0
SEA,WAS,-6.5,39.5,0,0
WAS,SEA,6.5,39.5,0,0
NE,JAX,3,45.5,0,0
JAX,NE,-3,45.5,0,0
ARI,SF,8.5,47.5,0,0
SF,ARI,-8.5,47.5,0,0
MIN,TB,-1.5,42.5,0,0
TB,MIN,1.5,42.5,0,0
BAL,DAL,-3,52.5,0,0
DAL,BAL,3,52.5,0,0
LV,NO,3,43.5,0,0
NO,LV,-3,43.5,0,0
LA,DEN,-1.5,45.5,0,0
DEN,LA,1.5,45.5,0,0
PHI,CHI,-3.5,44.5,0,0
CHI,PHI,3.5,44.5,0,0
